c1,c2
-3.091834640502929688e+01,3.351348114013671875e+01
3.312463760375976562e+01,-1.004661560058593750e+01
2.976092720031738281e+01,-2.474997901916503906e+01
-3.931518554687500000e+01,2.912397575378417969e+01
-3.641809082031250000e+01,2.224133300781250000e+01
2.132113265991210938e+01,1.894550085067749023e+00
3.597743225097656250e+01,-1.227261066436767578e+01
3.546152114868164062e+01,-1.518919944763183594e+01
2.925412559509277344e+01,-1.227938079833984375e+01
3.261914825439453125e+01,-9.101260185241699219e+00
1.960318565368652344e+01,2.376732587814331055e+00
3.063053321838378906e+01,-8.550364494323730469e+00
-4.381212615966796875e+01,2.387481880187988281e+01
-3.468232727050781250e+01,2.498240280151367188e+01
5.179565048217773438e+01,-2.522948074340820312e+01
1.938021087646484375e+01,2.116150856018066406e+00
5.189946746826171875e+01,-2.538995170593261719e+01
3.111947631835937500e+01,-2.705946350097656250e+01
3.277986145019531250e+01,-1.292037105560302734e+01
3.068608665466308594e+01,-8.811991691589355469e+00
3.259872436523437500e+01,-1.535936164855957031e+01
2.026835823059082031e+01,1.452167034149169922e+00
1.974616622924804688e+01,1.602493643760681152e+00
3.757246398925781250e+01,-1.455673217773437500e+01
3.987477111816406250e+01,-1.201353359222412109e+01
1.961605644226074219e+01,2.574776411056518555e+00
4.758255386352539062e+01,-2.414602279663085938e+00
3.465163421630859375e+01,-6.216643810272216797e+00
3.203203201293945312e+01,-1.539683151245117188e+01
-2.737337684631347656e+01,2.681256484985351562e+01
-3.639024734497070312e+01,2.556752014160156250e+01
3.429858016967773438e+01,-6.267807960510253906e+00
5.158044052124023438e+01,-2.470570182800292969e+01
-2.644191932678222656e+01,2.397566223144531250e+01
-3.434801340103149414e+00,-3.061219024658203125e+01
-2.781118011474609375e+01,2.682635879516601562e+01
3.346187973022460938e+01,-1.219917297363281250e+01
3.916096115112304688e+01,2.882555961608886719e+01
1.762954330444335938e+01,1.104710769653320312e+01
1.929825210571289062e+01,2.503276348114013672e+00
4.257021331787109375e+01,1.016847229003906250e+01
3.233060073852539062e+01,-9.550224304199218750e+00
3.245214080810546875e+01,-1.005413627624511719e+01
-4.986819744110107422e+00,1.186717414855957031e+01
8.149755477905273438e+00,-2.413969993591308594e+01
1.345492839813232422e+01,-9.753802299499511719e+00
3.687567520141601562e+01,-6.920471668243408203e+00
-1.581687355041503906e+01,-1.802499771118164062e+01
-2.729240989685058594e+01,2.682766151428222656e+01
3.220554351806640625e+01,-1.017506122589111328e+01
3.253756713867187500e+01,-1.048234844207763672e+01
