c1,c2
-3.772369766235351562e+01,-2.157918357849121094e+01
2.927439498901367188e+01,1.911232757568359375e+01
5.539049911499023438e+01,1.474519729614257812e+00
-2.755908966064453125e+01,-1.773664855957031250e+01
8.277420997619628906e+00,-3.635201644897460938e+01
-2.832430076599121094e+01,-2.588580131530761719e+01
3.336341476440429688e+01,1.249481773376464844e+01
3.651591873168945312e+01,1.722059440612792969e+01
1.151098632812500000e+01,1.307930183410644531e+01
2.663363838195800781e+01,1.784821510314941406e+01
2.539873123168945312e+01,3.474138259887695312e+01
2.602929115295410156e+01,1.731657218933105469e+01
3.194134902954101562e+01,1.281609344482421875e+01
-1.204016399383544922e+01,2.473879051208496094e+01
3.674430847167968750e+01,-2.064907073974609375e+01
1.803052902221679688e+01,-8.513180613517761230e-01
3.074009513854980469e+01,1.747878265380859375e+01
-3.249462890625000000e+01,-5.213448405265808105e-01
-2.781034851074218750e+01,-2.569027709960937500e+01
3.117836570739746094e+01,1.314725685119628906e+01
3.251563644409179688e+01,1.210468387603759766e+01
3.066928291320800781e+01,1.868868827819824219e+01
3.539323806762695312e+01,1.327379131317138672e+01
1.762177848815917969e+01,-2.388327026367187500e+01
2.264584541320800781e+01,-2.951704740524291992e+00
3.555880355834960938e+01,1.027560997009277344e+01
2.807893943786621094e+01,1.647777175903320312e+01
-2.939278793334960938e+01,-2.211164283752441406e+01
3.225426101684570312e+01,1.173656749725341797e+01
2.900992584228515625e+01,1.628242492675781250e+01
-2.753106498718261719e+01,-1.777386283874511719e+01
4.717566013336181641e+00,-3.038151359558105469e+01
2.677020645141601562e+01,1.868244171142578125e+01
3.852578353881835938e+01,6.914578437805175781e+00
4.236293792724609375e+01,2.577237129211425781e+01
3.877255630493164062e+01,1.055277824401855469e+01
2.890929603576660156e+01,1.151232910156250000e+01
2.870754432678222656e+01,1.725609207153320312e+01
-3.819220733642578125e+01,-1.776003265380859375e+01
3.456655883789062500e+01,1.287714672088623047e+01
3.001005744934082031e+01,1.197313880920410156e+01
-3.812398910522460938e+01,-1.757340240478515625e+01
3.253050613403320312e+01,1.215849971771240234e+01
2.883104324340820312e+01,-2.861680603027343750e+01
2.517416381835937500e+01,1.765001487731933594e+01
-3.043247985839843750e+01,2.571351432800292969e+01
4.504209136962890625e+01,2.127724266052246094e+01
-2.627623176574707031e+01,2.361247444152832031e+01
2.718080520629882812e+01,1.748521804809570312e+01
2.837392425537109375e+01,1.723164749145507812e+01
-3.109549331665039062e+01,-2.652951812744140625e+01
2.721481513977050781e+01,1.786890029907226562e+01
3.175939750671386719e+01,1.631709289550781250e+01
2.583815574645996094e+01,1.860481262207031250e+01
4.558486175537109375e+01,1.653048896789550781e+01
2.997981834411621094e+01,1.176602268218994141e+01
2.987163734436035156e+01,1.548190689086914062e+01
2.975006294250488281e+01,1.546565723419189453e+01
2.531869316101074219e+01,1.695471572875976562e+01
2.445093917846679688e+01,7.970678329467773438e+00
2.797319984436035156e+01,1.663038253784179688e+01
3.388252639770507812e+01,1.216865253448486328e+01
2.713401794433593750e+01,1.841272926330566406e+01
4.258928298950195312e+01,-1.714681053161621094e+01
4.554414367675781250e+01,-2.043249320983886719e+01
-3.330173873901367188e+01,-2.853677940368652344e+01
3.336327743530273438e+01,1.989216613769531250e+01
2.221565055847167969e+01,2.893150329589843750e+01
4.215420532226562500e+01,2.709997558593750000e+01
2.239154624938964844e+01,2.898937797546386719e+01
3.743025970458984375e+01,1.097402381896972656e+01
3.274470901489257812e+01,1.573918533325195312e+01
4.189253997802734375e+01,2.755996704101562500e+01
2.345607376098632812e+01,1.785264205932617188e+01
7.526031970977783203e+00,-3.162261390686035156e+01
3.927098083496093750e+01,5.974932193756103516e+00
3.361344528198242188e+01,9.666274070739746094e+00
4.059091567993164062e+01,8.973681449890136719e+00
3.436534118652343750e+01,1.312348079681396484e+01
-3.175847816467285156e+01,-2.592743301391601562e+01
3.652978897094726562e+01,5.917196750640869141e+00
2.672025299072265625e+01,1.812218475341796875e+01
2.287768363952636719e+01,3.986169338226318359e+00
2.926894187927246094e+01,1.675823783874511719e+01
3.504000091552734375e+01,1.524286651611328125e+01
3.432016754150390625e+01,1.285426807403564453e+01
-3.728234481811523438e+01,-1.743768882751464844e+01
3.713732147216796875e+01,-2.815372467041015625e+00
3.496703338623046875e+01,1.526229000091552734e+01
2.763254928588867188e+01,1.602478408813476562e+01
4.089742279052734375e+01,1.229290199279785156e+01
2.669050979614257812e+01,3.012904930114746094e+01
3.602312469482421875e+01,-5.755861759185791016e+00
-3.525796890258789062e+01,-2.506750869750976562e+01
4.026297378540039062e+01,5.079230785369873047e+00
4.488528442382812500e+01,2.511892700195312500e+01
-2.734250450134277344e+01,-1.736747741699218750e+01
1.627162170410156250e+01,-2.419345474243164062e+01
2.433791160583496094e+01,3.239620590209960938e+01
-2.934737014770507812e+01,-2.179110717773437500e+01
3.631265640258789062e+01,8.012016296386718750e+00
-3.773371124267578125e+01,-1.787459373474121094e+01
2.248210716247558594e+01,1.748777770996093750e+01
